Date,VX60d,VX90d,VF75,VVIX,VIX
2018-02-26,16.2313,16.3579,16.2946,107.68000030517578,15.800000190734863
2018-02-27,17.1571,17.0736,17.1154,119.5,18.59000015258789
2018-02-28,17.7964,17.6007,17.6986,121.69999694824219,19.850000381469727
2018-03-01,18.5464,18.275,18.4107,128.13999938964844,22.469999313354492
2018-03-02,18.2054,18.0393,18.1223,114.77999877929688,19.59000015258789
2018-03-05,17.7821,17.6729,17.7275,109.66000366210938,18.729999542236328
2018-03-06,17.975,17.8936,17.9343,104.61000061035156,18.360000610351562
2018-03-07,17.8071,17.8107,17.8089,99.48999786376953,17.760000228881836
2018-03-08,17.4446,17.555,17.4998,96.91999816894531,16.540000915527344
2018-03-09,16.5464,16.7693,16.6579,99.70999908447266,14.640000343322754
2018-03-12,16.9036,17.0464,16.975,104.94000244140625,15.779999732971191
2018-03-13,17.1821,17.2621,17.2221,107.04000091552734,16.350000381469727
2018-03-14,17.4982,17.525,17.5116,110.29000091552734,17.229999542236328
2018-03-15,17.0964,17.245,17.1707,109.27999877929688,16.59000015258789
2018-03-16,16.8125,16.9493,16.8809,106.48999786376953,15.800000190734863
2018-03-19,17.4693,17.3836,17.4264,112.91999816894531,19.020000457763672
2018-03-20,17.475,17.475,17.475,107.12999725341797,18.200000762939453
2018-03-21,17.3307,17.3736,17.3521,106.5999984741211,17.860000610351562
2018-03-22,18.3679,18.025,18.1964,125.12000274658203,23.34000015258789
2018-03-23,19.2307,18.7786,19.0046,129.82000732421875,24.8700008392334
2018-03-26,18.535,18.2964,18.4157,113.08000183105469,21.030000686645508
2018-03-27,19.3821,19.0518,19.217,118.61000061035156,22.5
2018-03-28,19.7179,19.4071,19.5625,114.0199966430664,22.8700008392334
2018-03-29,19.0879,18.8687,18.9783,103.31999969482422,19.969999313354492
2018-04-02,19.7279,19.4339,19.5809,111.66999816894531,23.6200008392334
2018-04-03,19.4321,19.2393,19.3357,102.05999755859375,21.100000381469727
2018-04-04,19.045,18.9446,18.9948,95.44000244140625,20.059999465942383
2018-04-05,18.5936,18.65,18.6218,92.20999908447266,18.940000534057617
2018-04-06,19.3536,19.3321,19.3429,98.5999984741211,21.489999771118164
2018-04-09,19.5293,19.4714,19.5004,100.23999786376953,21.770000457763672
2018-04-10,19.185,19.2107,19.1979,98.20999908447266,20.469999313354492
2018-04-11,19.3321,19.4179,19.375,100.0199966430664,20.239999771118164
2018-04-12,18.6879,18.8625,18.7752,98.08000183105469,18.489999771118164
2018-04-13,18.2407,18.4714,18.3561,93.94000244140625,17.40999984741211
2018-04-16,17.5321,17.9321,17.7321,93.22000122070312,16.559999465942383
2018-04-17,16.8179,17.3393,17.0786,89.58999633789062,15.25
2018-04-18,16.6536,17.1089,16.8813,92.41000366210938,15.600000381469727
2018-04-19,16.8107,17.225,17.0179,95.37999725341797,15.960000038146973
2018-04-20,17.0736,17.4293,17.2514,99.20999908447266,16.8799991607666
2018-04-23,17.0464,17.3421,17.1943,96.87000274658203,16.34000015258789
2018-04-24,17.4911,17.625,17.558,100.80999755859375,18.020000457763672
2018-04-25,17.6964,17.8336,17.765,97.80000305175781,17.84000015258789
2018-04-26,17.0786,17.345,17.2118,90.70999908447266,16.239999771118164
2018-04-27,16.9107,17.2593,17.085,92.1500015258789,15.40999984741211
2018-04-30,17.0375,17.3221,17.1798,94.30000305175781,15.930000305175781
2018-05-01,16.6179,16.9264,16.7721,89.97000122070312,15.489999771118164
2018-05-02,16.9125,17.1807,17.0466,93.79000091552734,15.970000267028809
2018-05-03,16.6964,16.995,16.8457,91.06999969482422,15.899999618530273
2018-05-04,16.5607,16.8393,16.7,88.12000274658203,14.770000457763672
2018-05-07,16.5821,16.8779,16.73,90.70999908447266,14.75
2018-05-08,16.4982,16.7836,16.6409,89.5,14.710000038146973
2018-05-09,15.9786,16.375,16.1768,93.88999938964844,13.420000076293945
2018-05-10,15.4482,15.865,15.6566,93.0199966430664,13.229999542236328
2018-05-11,15.0929,15.5171,15.305,90.02999877929688,12.649999618530273
2018-05-14,14.8857,15.2607,15.0732,92.62000274658203,12.930000305175781
2018-05-15,15.7107,15.9979,15.8543,99.18000030517578,14.630000114440918
2018-05-16,15.2554,15.6721,15.4637,94.79000091552734,13.420000076293945
2018-05-17,15.025,15.475,15.25,93.4800033569336,13.430000305175781
2018-05-18,15.2964,15.6564,15.4764,94.76000213623047,13.420000076293945
2018-05-21,14.8036,15.2321,15.0179,91.04000091552734,13.079999923706055
2018-05-22,15.0136,15.3993,15.2064,90.47000122070312,13.220000267028809
2018-05-23,14.7764,15.1621,14.9693,89.80000305175781,12.579999923706055
2018-05-24,14.675,15.125,14.9,90.63999938964844,12.529999732971191
2018-05-25,14.9021,15.2946,15.0984,93.77999877929688,13.220000267028809
2018-05-29,16.125,16.1696,16.1473,108.66999816894531,17.020000457763672
2018-05-30,15.785,16.1107,15.9479,99.08000183105469,14.9399995803833
2018-05-31,15.995,16.3125,16.1538,100.62999725341797,15.430000305175781
2018-06-01,15.3236,15.7036,15.5136,93.30000305175781,13.460000038146973
2018-06-04,14.8807,15.3214,15.1011,90.83000183105469,12.739999771118164
2018-06-05,14.7436,15.1893,14.9664,89.83999633789062,12.399999618530273
2018-06-06,14.3579,14.8804,14.6191,88.12000274658203,11.640000343322754
2018-06-07,14.4871,15.0125,14.7498,91.27999877929688,12.130000114440918
2018-06-08,14.5393,15.0696,14.8045,93.48999786376953,12.180000305175781
2018-06-11,14.435,15.0286,14.7318,94.54000091552734,12.350000381469727
2018-06-12,14.405,15.0661,14.7355,95.70999908447266,12.34000015258789
2018-06-13,14.6393,15.2536,14.9464,100.01000213623047,12.9399995803833
2018-06-14,14.2321,14.9312,14.5817,98.20999908447266,12.119999885559082
2018-06-15,14.2071,14.8411,14.5241,101.66000366210938,11.979999542236328
2018-06-18,14.1464,14.7607,14.4536,99.87000274658203,12.3100004196167
2018-06-19,14.7121,15.2393,14.9757,104.12999725341797,13.350000381469727
2018-06-20,14.565,15.2036,14.8843,98.51000213623047,12.789999961853027
2018-06-21,15.2521,15.7,15.4761,107.44999694824219,14.640000343322754
2018-06-22,15.0564,15.5429,15.2996,102.48999786376953,13.770000457763672
2018-06-25,16.2893,16.525,16.4071,114.31999969482422,17.329999923706055
2018-06-26,16.1598,16.517,16.3384,107.5199966430664,15.920000076293945
2018-06-27,16.9036,17.1393,17.0214,112.75,17.90999984741211
2018-06-28,16.6196,16.9125,16.7661,108.87999725341797,16.850000381469727
2018-06-29,16.45,16.825,16.6375,105.97000122070312,16.09000015258789
2018-07-02,16.4375,16.8321,16.6348,104.80000305175781,15.600000381469727
2018-07-03,16.8143,17.125,16.9696,108.5,16.139999389648438
2018-07-05,16.2464,16.725,16.4857,103.22000122070312,14.970000267028809
2018-07-06,15.7804,16.3429,16.0616,95.73999786376953,13.369999885559082
2018-07-09,14.9679,15.6107,15.2893,94.16000366210938,12.6899995803833
2018-07-10,14.7589,15.4161,15.0875,91.95999908447266,12.640000343322754
2018-07-11,15.1964,15.7679,15.4821,104.5,13.630000114440918
2018-07-12,14.8143,15.4625,15.1384,100.81999969482422,12.579999923706055
2018-07-13,14.6893,15.3464,15.0179,99.80999755859375,12.180000305175781
2018-07-16,14.7679,15.4554,15.1116,100.94999694824219,12.829999923706055
2018-07-17,14.6607,15.4714,15.0661,98.55999755859375,12.0600004196167
2018-07-18,14.7732,15.55,15.1616,98.08000183105469,12.100000381469727
2018-07-19,14.9643,15.725,15.3446,100.58000183105469,12.869999885559082
2018-07-20,15.1429,15.8314,15.4871,102.76000213623047,12.859999656677246
2018-07-23,15.0714,15.7093,15.3904,102.04000091552734,12.619999885559082
2018-07-24,15.05,15.7107,15.3804,98.68000030517578,12.40999984741211
2018-07-25,14.9821,15.6679,15.325,94.19999694824219,12.289999961853027
2018-07-26,15.0545,15.705,15.3797,91.66000366210938,12.140000343322754
